
2023/12/28 (09:16:12) | ===> btop++ v.1.2.13
2023/12/28 (09:16:12) | ERROR: Failed to get size of terminal!

2024/10/27 (10:10:57) | ===> btop++ v.1.4.0
2024/10/27 (10:10:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:11:59) | ===> btop++ v.1.4.0
2024/10/27 (10:11:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:15:42) | ===> btop++ v.1.4.0
2024/10/27 (10:15:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:24:01) | ===> btop++ v.1.4.0
2024/10/27 (10:24:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (11:31:17) | ===> btop++ v.1.4.0
2024/10/28 (11:31:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (11:38:06) | ===> btop++ v.1.4.0
2024/10/28 (11:38:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (10:20:37) | ===> btop++ v.1.4.0
2024/10/29 (10:20:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (10:24:28) | ===> btop++ v.1.4.0
2024/10/29 (10:24:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:24:03) | ===> btop++ v.1.4.0
2024/10/31 (23:24:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:25:09) | ===> btop++ v.1.4.0
2024/10/31 (23:25:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:25:36) | ===> btop++ v.1.4.0
2024/10/31 (23:25:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:25:48) | ===> btop++ v.1.4.0
2024/10/31 (23:25:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:26:34) | ===> btop++ v.1.4.0
2024/10/31 (23:26:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:27:32) | ===> btop++ v.1.4.0
2024/10/31 (23:27:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:02:32) | ===> btop++ v.1.4.0
2024/11/01 (20:02:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:03:09) | ===> btop++ v.1.4.0
2024/11/01 (20:03:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:13:26) | ===> btop++ v.1.4.0
2024/11/01 (20:13:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (13:21:30) | ===> btop++ v.1.4.0
2024/11/02 (13:21:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (15:15:15) | ===> btop++ v.1.4.0
2024/11/02 (15:15:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (15:16:15) | ===> btop++ v.1.4.0
2024/11/02 (15:16:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (00:23:38) | ===> btop++ v.1.4.0
2024/11/04 (00:23:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (00:24:12) | ===> btop++ v.1.4.0
2024/11/04 (00:24:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (00:25:41) | ===> btop++ v.1.4.0
2024/11/04 (00:25:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (00:25:50) | ===> btop++ v.1.4.0
2024/11/04 (00:25:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:52:53) | ===> btop++ v.1.4.0
2024/11/04 (12:52:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (09:23:45) | ===> btop++ v.1.4.0
2024/11/06 (09:23:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (09:24:16) | ===> btop++ v.1.4.0
2024/11/06 (09:24:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (22:32:45) | ===> btop++ v.1.4.0
2024/11/08 (22:32:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (22:32:54) | ===> btop++ v.1.4.0
2024/11/08 (22:32:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (18:38:59) | ===> btop++ v.1.4.0
2024/11/10 (18:38:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (18:39:14) | ===> btop++ v.1.4.0
2024/11/10 (18:39:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (12:09:54) | ===> btop++ v.1.4.0
2024/11/11 (12:09:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (12:10:04) | ===> btop++ v.1.4.0
2024/11/11 (12:10:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (12:10:08) | ===> btop++ v.1.4.0
2024/11/11 (12:10:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (12:32:13) | ===> btop++ v.1.4.0
2024/11/11 (12:32:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (13:09:48) | ===> btop++ v.1.4.0
2024/11/11 (13:09:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (16:28:44) | ===> btop++ v.1.4.0
2024/11/11 (16:28:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (18:26:59) | ===> btop++ v.1.4.0
2024/11/12 (18:26:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (18:27:25) | ===> btop++ v.1.4.0
2024/11/12 (18:27:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (23:35:52) | ===> btop++ v.1.4.0
2024/11/12 (23:35:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (22:10:04) | ===> btop++ v.1.4.0
2024/11/16 (22:10:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (20:50:19) | ===> btop++ v.1.4.0
2024/11/25 (20:50:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (18:31:08) | ===> btop++ v.1.4.0
2024/11/26 (18:31:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (16:49:49) | ===> btop++ v.1.4.0
2024/11/27 (16:49:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (20:16:18) | ===> btop++ v.1.4.0
2024/11/27 (20:16:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (20:27:27) | ===> btop++ v.1.4.0
2024/11/27 (20:27:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (20:27:31) | ===> btop++ v.1.4.0
2024/11/27 (20:27:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (19:21:21) | ===> btop++ v.1.4.0
2024/12/01 (19:21:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (19:22:53) | ===> btop++ v.1.4.0
2024/12/01 (19:22:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:17:20) | ===> btop++ v.1.4.0
2024/12/10 (17:17:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:41:52) | ===> btop++ v.1.4.0
2024/12/10 (17:41:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:50:15) | ===> btop++ v.1.4.0
2024/12/10 (17:50:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (22:45:20) | ===> btop++ v.1.4.0
2024/12/11 (22:45:20) | WARNING: Intel GPU: Failed to initialize PMU
